displacement_mm,force_g
0.0,-0.36
0.1,17.72
0.2,36.32
0.3,57.10
0.4,74.08
0.5,90.01
0.6,114.23
0.7,132.68
0.8,153.06
0.9,174.44
1.0,195.58
1.1,219.06
1.2,239.24
1.3,259.63
1.4,279.55
1.5,301.21
1.6,327.02
1.7,352.63
1.8,372.70
1.9,395.88
2.0,421.33
2.1,440.52
2.2,467.82
2.3,494.58
2.4,520.58
2.5,543.15
2.6,570.34
2.7,595.97
2.8,623.56
2.9,645.37
3.0,676.42
3.1,698.36
3.2,723.05
3.3,755.83
3.4,783.11
3.5,815.94
3.6,844.06
3.7,868.30
3.8,902.72
3.9,927.64
4.0,959.78
4.1,989.42
4.2,1020.89
4.3,1053.40
4.4,1084.00
4.5,1114.62
4.6,1147.02
4.7,1178.55
4.8,1208.03
4.9,1240.36
5.0,1273.83
4.9,1238.30
4.8,1198.76
4.7,1167.94
4.6,1123.16
4.5,1085.97
4.4,1054.55
4.3,1020.50
4.2,982.94
4.1,948.92
4.0,915.97
3.9,878.16
3.8,841.28
3.7,810.37
3.6,781.40
3.5,743.18
3.4,715.10
3.3,684.33
3.2,652.07
3.1,624.31
3.0,594.07
2.9,569.04
2.8,535.91
2.7,504.47
2.6,476.74
2.5,448.74
2.4,426.43
2.3,396.40
2.2,371.98
2.1,348.95
2.0,320.77
1.9,297.96
1.8,270.82
1.7,250.09
1.6,229.40
1.5,210.56
1.4,191.91
1.3,169.00
1.2,150.58
1.1,132.00
1.0,116.76
0.9,99.61
0.8,82.29
0.7,64.27
0.6,55.26
0.5,41.28
0.4,31.92
0.3,18.67
0.2,15.08
0.1,2.71
0.0,3.98
