displacement_mm,force_g
0.10,40.09
0.20,98.73
0.30,167.24
0.40,243.09
0.50,324.90
0.60,411.80
0.70,503.17
0.80,598.56
0.90,697.60
1.00,800.00
1.10,905.53
1.20,1013.97
1.30,1125.17
1.40,1238.96
1.50,1355.22
1.60,1473.83
1.70,1594.68
1.80,1717.69
1.90,1842.76
2.00,1969.83
2.10,2098.82
2.20,2229.66
2.30,2362.31
2.40,2496.69
2.50,2632.76
2.60,2770.48
2.70,2909.80
2.80,3050.67
2.90,3193.06
3.00,3336.93
3.10,3482.25
3.20,3628.98
3.30,3777.10
3.40,3926.56
3.50,4077.35
3.60,4229.44
3.70,4382.81
3.80,4537.42
3.90,4693.25
4.00,4850.29
4.10,5008.52
4.20,5167.90
4.30,5328.43
4.40,5490.08
4.50,5652.83
4.60,5816.68
4.70,5981.60
4.80,6147.57
4.90,6314.59
5.00,6482.63
5.10,6651.68
5.20,6821.73
5.30,6992.76
5.40,7164.76
5.50,7337.73
5.60,7511.63
5.70,7686.48
5.80,7862.24
5.90,8038.92
6.00,8216.50
6.10,8394.96
6.20,8574.31
6.30,8754.53
6.40,8935.60
6.50,9117.53
6.60,9300.30
6.70,9483.91
6.80,9668.33
6.90,9853.57
7.00,10039.62

6.90,9830.22
6.80,9603.27
6.70,9378.31
6.60,9155.35
6.50,8934.41
6.40,8715.51
6.30,8498.64
6.20,8283.83
6.10,8071.09
6.00,7860.44
5.90,7651.88
5.80,7445.42
5.70,7241.10
5.60,7038.91
5.50,6838.88
5.40,6641.02
5.30,6445.34
5.20,6251.87
5.10,6060.62
5.00,5871.60
4.90,5684.84
4.80,5500.35
4.70,5318.16
4.60,5138.27
4.50,4960.72
4.40,4785.52
4.30,4612.69
4.20,4442.26
4.10,4274.24
4.00,4108.66
3.90,3945.55
3.80,3784.93
3.70,3626.83
3.60,3471.27
3.50,3318.28
3.40,3167.90
3.30,3020.14
3.20,2875.04
3.10,2732.65
3.00,2592.98
2.90,2456.07
2.80,2321.97
2.70,2190.72
2.60,2062.35
2.50,1936.91
2.40,1814.44
2.30,1695.00
2.20,1578.63
2.10,1465.40
2.00,1355.35
1.90,1248.56
1.80,1145.09
1.70,1045.02
1.60,948.41
1.50,855.36
1.40,765.97
1.30,680.32
1.20,598.54
1.10,520.75
1.00,447.10
0.90,377.74
0.80,312.86
0.70,252.67
0.60,197.45
0.50,147.49
0.40,103.20
0.30,65.13
0.20,34.04
0.10,11.23
0.00,0.00
